"Date","Followers","Difference in followers from previous day"
"March 22","undefined","0"
"March 23","undefined","0"
"March 24","undefined","0"
"March 25","undefined","0"
"March 26","undefined","0"
"March 27","undefined","0"
"March 28","undefined","0"
"March 29","undefined","0"
"March 30","undefined","0"
"March 31","undefined","0"
"April 1","undefined","0"
"April 2","undefined","0"
"April 3","15","0"
"April 4","16","1"
"April 5","16","0"
"April 6","17","1"
"April 7","19","2"
"April 8","19","0"
"April 9","19","0"
"April 10","19","0"
"April 11","19","0"
"April 12","20","1"
"April 13","21","1"
"April 14","21","0"
"April 15","22","1"
"April 16","22","0"
"April 17","22","0"
"April 18","23","1"
"April 19","24","1"
"April 20","24","0"
"April 21","28","4"
"April 22","28","0"
"April 23","30","2"
"April 24","31","1"
"April 25","32","1"
"April 26","32","0"
"April 27","32","0"
"April 28","33","1"
"April 29","33","0"
"April 30","33","0"
"May 1","33","0"
"May 2","33","0"
"May 3","33","0"
"May 4","33","0"
"May 5","34","1"
"May 6","34","0"
"May 7","34","0"
"May 8","34","0"
"May 9","34","0"
"May 10","34","0"
"May 11","34","0"
"May 12","34","0"
"May 13","34","0"
"May 14","34","0"
"May 15","34","0"
"May 16","34","0"
"May 17","34","0"
"May 18","34","0"
"May 19","36","2"
"May 20","44","8"
"May 21","46","2"
"May 22","49","3"
"May 23","49","0"
"May 24","49","0"
"May 25","49","0"
"May 26","50","1"
"May 27","51","1"
"May 28","53","2"
"May 29","53","0"
"May 30","53","0"
"May 31","53","0"
"June 1","53","0"
"June 2","53","0"
"June 3","53","0"
"June 4","54","1"
"June 5","54","0"
"June 6","55","1"
"June 7","55","0"
"June 8","56","1"
"June 9","56","0"
"June 10","57","1"
"June 11","57","0"
"June 12","57","0"
"June 13","57","0"
"June 14","58","1"
"June 15","61","3"
"June 16","61","0"
"June 17","61","0"
"June 18","61","0"
"June 19","61","0"
"June 20","61","0"
"June 21","61","0"
"June 22","61","0"
"June 23","62","1"
"June 24","63","1"
"June 25","63","0"
"June 26","64","1"
"June 27","64","0"
"June 28","64","0"
"June 29","64","0"
